Home Team,Away Team,Bookmaker,Bet Type,Team,Odds
Eastern Kentucky Colonels,Lipscomb Bisons,BetMGM,h2h,Lipscomb Bisons,2.35
Eastern Kentucky Colonels,Lipscomb Bisons,BetMGM,spreads,Eastern Kentucky Colonels,1.87
Eastern Kentucky Colonels,Lipscomb Bisons,BetMGM,spreads,Lipscomb Bisons,1.87
Eastern Kentucky Colonels,Lipscomb Bisons,Bovada,h2h,Eastern Kentucky Colonels,1.65
Eastern Kentucky Colonels,Lipscomb Bisons,Bovada,h2h,Lipscomb Bisons,2.2
Eastern Kentucky Colonels,Lipscomb Bisons,Bovada,spreads,Eastern Kentucky Colonels,1.87
Eastern Kentucky Colonels,Lipscomb Bisons,Bovada,spreads,Lipscomb Bisons,1.87
North Alabama Lions,West Georgia Wolves,FanDuel,h2h,North Alabama Lions,1.02
North Alabama Lions,West Georgia Wolves,FanDuel,h2h,West Georgia Wolves,12.0
North Alabama Lions,West Georgia Wolves,FanDuel,spreads,North Alabama Lions,1.93
North Alabama Lions,West Georgia Wolves,FanDuel,spreads,West Georgia Wolves,1.83
North Alabama Lions,West Georgia Wolves,DraftKings,h2h,North Alabama Lions,1.06
North Alabama Lions,West Georgia Wolves,DraftKings,h2h,West Georgia Wolves,9.0
North Alabama Lions,West Georgia Wolves,DraftKings,spreads,North Alabama Lions,1.87
North Alabama Lions,West Georgia Wolves,DraftKings,spreads,West Georgia Wolves,1.87
North Alabama Lions,West Georgia Wolves,BetRivers,h2h,North Alabama Lions,1.04
North Alabama Lions,West Georgia Wolves,BetRivers,h2h,West Georgia Wolves,8.0
North Alabama Lions,West Georgia Wolves,BetRivers,spreads,North Alabama Lions,1.85
North Alabama Lions,West Georgia Wolves,BetRivers,spreads,West Georgia Wolves,1.81
North Alabama Lions,West Georgia Wolves,BetMGM,h2h,North Alabama Lions,1.07
North Alabama Lions,West Georgia Wolves,BetMGM,h2h,West Georgia Wolves,7.75
North Alabama Lions,West Georgia Wolves,BetMGM,spreads,North Alabama Lions,1.95
North Alabama Lions,West Georgia Wolves,BetMGM,spreads,West Georgia Wolves,1.8
North Alabama Lions,West Georgia Wolves,Bovada,h2h,North Alabama Lions,1.04
North Alabama Lions,West Georgia Wolves,Bovada,h2h,West Georgia Wolves,11.0
North Alabama Lions,West Georgia Wolves,Bovada,spreads,North Alabama Lions,1.91
North Alabama Lions,West Georgia Wolves,Bovada,spreads,West Georgia Wolves,1.83
Mississippi St Bulldogs,Texas A&M Aggies,DraftKings,h2h,Mississippi St Bulldogs,1.57
Mississippi St Bulldogs,Texas A&M Aggies,DraftKings,h2h,Texas A&M Aggies,2.35
Mississippi St Bulldogs,Texas A&M Aggies,DraftKings,spreads,Mississippi St Bulldogs,1.83
Mississippi St Bulldogs,Texas A&M Aggies,DraftKings,spreads,Texas A&M Aggies,1.91
Mississippi St Bulldogs,Texas A&M Aggies,FanDuel,h2h,Mississippi St Bulldogs,1.71
Mississippi St Bulldogs,Texas A&M Aggies,FanDuel,h2h,Texas A&M Aggies,2.1
Mississippi St Bulldogs,Texas A&M Aggies,FanDuel,spreads,Mississippi St Bulldogs,1.94
Mississippi St Bulldogs,Texas A&M Aggies,FanDuel,spreads,Texas A&M Aggies,1.82
Mississippi St Bulldogs,Texas A&M Aggies,BetMGM,h2h,Mississippi St Bulldogs,1.67
Mississippi St Bulldogs,Texas A&M Aggies,BetMGM,h2h,Texas A&M Aggies,2.15
Mississippi St Bulldogs,Texas A&M Aggies,BetMGM,spreads,Mississippi St Bulldogs,1.91
Mississippi St Bulldogs,Texas A&M Aggies,BetMGM,spreads,Texas A&M Aggies,1.85
Mississippi St Bulldogs,Texas A&M Aggies,Bovada,h2h,Mississippi St Bulldogs,1.38
Mississippi St Bulldogs,Texas A&M Aggies,Bovada,h2h,Texas A&M Aggies,2.9
Mississippi St Bulldogs,Texas A&M Aggies,Bovada,spreads,Mississippi St Bulldogs,1.91
Mississippi St Bulldogs,Texas A&M Aggies,Bovada,spreads,Texas A&M Aggies,1.83
Mississippi St Bulldogs,Texas A&M Aggies,BetRivers,h2h,Mississippi St Bulldogs,1.61
Mississippi St Bulldogs,Texas A&M Aggies,BetRivers,h2h,Texas A&M Aggies,2.17
